match_number,stage,group,date,local_time,home,away,venue
95,Round of 16,,2026-07-07,12:00 p.m. UTC−4,Winner Match 86,Winner Match 88,"Mercedes-Benz Stadium, Atlanta"
96,Round of 16,,2026-07-07,1:00 p.m. UTC−7,Winner Match 85,Winner Match 87,"BC Place, Vancouver"
97,Quarterfinals,,2026-07-09,4:00 p.m. UTC−4,Winner Match 89,Winner Match 90,"Gillette Stadium, Foxborough"
98,Quarterfinals,,2026-07-10,12:00 p.m. UTC−7,Winner Match 93,Winner Match 94,"SoFi Stadium, Inglewood"
99,Quarterfinals,,2026-07-11,5:00 p.m. UTC−4,Winner Match 91,Winner Match 92,"Hard Rock Stadium, Miami Gardens"
100,Quarterfinals,,2026-07-11,8:00 p.m. UTC−5,Winner Match 95,Winner Match 96,"Arrowhead Stadium, Kansas City"
101,Semifinals,,2026-07-14,2:00 p.m. UTC−5,Winner Match 97,Winner Match 98,"AT&T Stadium, Arlington"
102,Semifinals,,2026-07-15,3:00 p.m. UTC−4,Winner Match 99,Winner Match 100,"Mercedes-Benz Stadium, Atlanta"
103,Match for third place,,2026-07-18,5:00 p.m. UTC−4,Loser Match 101,Loser Match 102,"Hard Rock Stadium, Miami Gardens"
104,Final,,2026-07-19,3:00 p.m. UTC−4,Winner Match 101,Winner Match 102,"MetLife Stadium, East Rutherford"
